yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
2014,0,0,0,1,0.10427807,1.3589044,0.334254,0.72974682,0.088357992,0,0.037900001,5.9242558,1.7909204
1994,0,0,0,1,0.088732868,1.0156389,0.051475689,0.3456324,0.029216466,0,0.070799999,4.5015664,1.3804272
1994,0,1,0,0,0.26510358,3.092103,0.62355959,0.28512916,0.062639944,0,0.079899997,3.368855,1.3804272
1994,0,0,0,1,0.18413353,0.99783212,0.16227022,0.38418993,0.16233453,0,0.079899997,4.0623379,1.3804272
1995,0,0,0,1,0.60227275,1.0998819,0,1.1081338,0.007143122,0,0.068099998,4.1896548,2.2755339
1996,1,0,0,1,3.25,5.7734694,0,0.098261528,0.03356009,0.091761149,0.071000002,2.7080503,2.1868284
1998,0,0,1,1,0.065863453,2.0907969,0.00087707,0.073352121,0.13327833,0,0.064000003,6.2105999,1.5116082
1998,0,0,1,1,0.063492648,2.0848844,0.070630342,0.11005977,0.050500382,0,0.067199998,6.2989492,1.5116082
1998,0,0,0,1,0.17047618,2.2239401,0.11720348,0.42566249,0.004686236,0,0.064000003,4.6539602,1.5116082
1998,0,0,1,1,0.37333331,2.2239401,0.11720348,0.42566249,0.004686236,0,0.064099997,3.8066626,1.5116082
1999,0,0,1,1,0.046191536,1.3082104,0.1798204,0.061265592,0.029022744,0,0.069299996,6.1070228,1.2128912
1999,0,0,1,1,0.033387758,1.3082104,0.1798204,0.061265592,0.029022744,0,0.073600002,6.1944056,1.2128912
1999,1,0,0,1,2.1510687,1.1227579,0.30096379,0.070722215,0.00338192,0,0.075500004,5.9738097,1.2128912
2000,0,0,0,1,0.043925237,3.4351735,0.025957612,0.3852841,0.25472629,0,0.072099999,7.3118863,0.75279349
2002,1,0,0,1,0.20872729,1.8191855,0.011804862,0.39132699,0.22665474,0,0.065099999,6.5722823,0.80995888
2002,0,0,0,1,0.14129083,2.2289896,0.0458294,0.22858042,0.31123701,0,0.063699998,3.3432293,0.80995888
2003,0,0,0,1,0.11352886,1.0591133,0.0000583,0.48116326,0.22553945,0,0.056199998,6.9631901,1.3330927
2005,0,0,0,1,0.45372292,1.5247147,0.24451871,0.92909771,0.058717091,0,0.0506,5.4424176,1.9717667
2007,0,0,0,1,0.19903763,1.5261101,0.0005931,0.097725108,0.13103494,0,0.057399999,7.7345591,2.0085592
2007,1,1,0,1,0.49238375,1.9666328,0.25241634,0.3499921,0.23407581,0,0.054699998,7.8473721,2.0085592
2009,0,0,0,1,0.073245004,1.3528304,0.040438429,0.27161291,0.12318628,0,0.0515,8.4346809,1.4616802
2010,0,0,1,1,0.22152589,1.2832638,0.011202752,0.14419913,0.22236794,0,0.044899996,5.9053617,1.300802
2013,0,1,1,1,0.056691784,1.4988773,0.185675,0.79072165,0.11754668,0,0.046300001,7.9327211,2.2015083
2013,1,0,0,1,0.21530865,1.0909967,0.000145708,0.16940983,0.11370687,0,0.037300002,4.3944492,2.2015083
2014,0,0,0,1,0.079545453,2.6207433,0.22210908,0.64427906,0.20540062,0,0.0416,8.3893595,1.6753298
1993,0,0,0,1,2.2246046,1.3090733,0.28420135,0.537673,0.010071843,0,0.074299999,4.0247264,2.214808
1993,1,0,0,1,0.23969516,2.709146,0,0.11419173,0.26456767,0,0.069200002,2.6811502,2.214808
1994,0,0,0,1,0.029714284,9.7872028,0,0.28672072,0.29666087,0,0.084600002,4.6539602,2.2888041
1994,1,0,0,1,0.3378984,2.6727128,0.22465286,0.73127598,0.021662701,0.018608615,0.084600002,8.5249634,2.2888041
1994,0,0,0,1,0.11592755,1.4204805,0.37785733,0.73118734,0.080434822,0,0.079899997,4.1908016,2.2888041
1995,1,0,0,0,0.20817925,2.5717206,0,0.36747015,0.13046126,0,0.072999999,5.4851713,2.1465969
1995,0,0,0,1,0.38,1.0324948,0.50444394,0.3251774,0.037963402,0,0.0682,4.9767337,2.1465969
1995,1,1,1,1,0.63206953,3.7626557,0.074874103,0.34018022,0.2671614,0,0.076499999,3.3283579,2.1465969
1995,0,0,0,1,0.046363637,1.7355412,0.21920447,0.13748434,0.026870847,0,0.068099998,3.0910425,2.1465969
1995,0,0,0,1,0.3059091,1.7757305,0.11012692,0.19711792,0.49775252,0,0.068099998,3.0910425,2.1465969
1995,1,0,0,0,0.031396918,1.5281706,0.23331173,0.42012778,0.005555041,0,0.071199998,9.1567287,2.1465969
1996,0,1,0,1,0.023626698,1.8433146,0.013856977,0.58987629,0.15486984,0.006396974,0.071000002,7.4342575,2.0129173
1996,0,1,1,1,0.018186528,2.7953138,0.085458845,0.21927859,0.16425855,0,0.077100001,5.2626901,2.0129173
1996,0,0,1,1,0.040151477,1.2261482,0.45653135,0.41317299,0.000882613,0,0.077100001,8.2776909,2.0129173
1997,1,0,1,1,0.14909863,1.5122939,0.39752647,0.65537733,0.0080544,0,0.07,8.3777008,2.2750108
1997,1,0,1,1,2.9289949,0.98430878,0.20140554,0.65874475,0.017155888,0.003211589,0.071500003,5.2933049,2.2750108
1997,1,1,0,1,0.29634044,1.2030945,0.28654441,0.89616603,0.007088814,0,0.075500004,5.4595857,2.2750108
1997,1,0,1,0,0.11614073,1.4154885,0.42852056,0.41774967,0.004183728,0,0.074099995,8.9621353,2.2750108
1997,1,1,0,1,0.83808511,1.1850581,0.28803301,1.010898,0.056229275,0,0.07,3.8501475,2.2750108
1997,0,0,0,1,0.42692155,5.0944176,0,0.058994822,0.45222175,0,0.0722,2.6362255,2.2750108
1997,1,0,0,1,0.30035633,1.5017486,0.11957167,0.696123,0.043303847,0,0.077299997,7.6912003,2.2750108
1998,1,1,0,1,0.012315522,1.9630142,0.21254742,0.4842858,0.008134805,0,0.066700004,9.7804718,2.1616395
